organization_id;sales_order;date_create;status;code;client_id;tvz_id;cost_price;price_b2b_gross;price_b2c_gross;quantity;
15;2051034079;2022-08-23T19:30:01.859;0;47396;50014;8267;285.213305;0;0;1;
8;2051031478;2022-08-15T12:16:02.862;0;9962;8430;5458;166.461542;0;0;1;
13;2051017571;2022-06-05T06:38:01.723;0;4006;12680;7079;508.943825;0;0;5;
5;2051022791;2022-06-29T17:59:31.201;0;60106;20037;3211;1654.970005;0;0;1;
5;2051018985;2022-06-12T09:55:07.568;0;9962;39726;3365;166.461542;0;0;2;
13;2051029002;2022-08-01T09:30:02.512;0;9962;20617;7102;166.461542;0;0;2;
13;2051023149;2022-07-01T00:09:06.921;3;63296;35644;7670;256.007635;0;0;1;
13;2061089102;2022-07-01T00:16:58.612;3;63296;72642;7660;256.007635;0;0;1;
13;2051023149;2022-07-01T00:09:06.921;3;63299;35644;7670;255.975304;0;0;1;
13;2061089102;2022-07-01T00:16:58.612;3;63299;72642;7660;255.975304;0;0;1;
5;2051020061;2022-06-17T20:25:02.593;1;9962;51899;4248;166.461542;0;0;2;
5;2051035441;2022-08-29T11:40:03.631;0;56545;40330;3500;399.578829;0;0;1;
13;2051023149;2022-07-01T00:09:06.921;3;63298;35644;7670;255.996858;0;0;1;
13;2061089102;2022-07-01T00:16:58.612;3;63298;72642;7660;255.996858;0;0;1;
1;2051021305;2022-06-23T13:43:05.765;1;60010;14873;1406;478.574239;0;0;2;
2;2051017540;2022-06-04T21:01:02.791;1;55784;35283;1867;667.839913;0;0;1;
1;2051032211;2022-08-17T14:41:04.477;0;57419;44061;805;684.673587;0;0;1;
1;2051021134;2022-06-22T18:39:05.449;0;9962;34399;786;166.461542;0;0;2;
1;2051021374;2022-06-23T17:59:16.758;0;9962;31920;1019;166.461542;0;0;1;
5;2051020790;2022-06-21T15:46:05.004;0;4006;39441;3691;508.943825;0;0;2;
1;2051018438;2022-06-09T09:35:02.430;3;63296;54311;833;256.007635;0;0;1;
1;2051018485;2022-06-09T12:09:02.111;0;63296;54311;821;256.007635;0;0;1;
5;2051020039;2022-06-17T18:25:02.371;0;4006;20052;3749;508.943825;0;0;1;
5;2051031265;2022-08-14T11:22:02.372;0;51936;71324;3559;1153.89339;0;0;1;
13;2051029277;2022-08-02T19:44:02.590;0;2449;11091;7234;321.327032;0;0;1;
13;2051022328;2022-06-28T10:22:11.011;3;60147;21009;7440;248.765491;0;0;1;
13;2051022589;2022-06-28T23:41:22.476;3;60147;66117;7655;248.765491;0;0;1;
9;2051030946;2022-08-12T13:14:09.243;3;4006;35085;5906;508.943825;0;0;3;
13;2051021996;2022-06-27T05:25:03.096;3;60147;66117;7654;248.765491;0;0;1;
5;2051031146;2022-08-13T15:46:02.706;0;44241;40351;3459;1381.859271;0;0;3;
2;2051018755;2022-06-10T16:06:03.566;0;38150;16767;2533;2026.388533;0;0;1;
1;2051026971;2022-07-18T09:30:02.152;0;59253;47893;1018;996.538413;0;0;1;
2;2051028336;2022-07-26T17:01:02.636;0;49636;54133;2737;715.097058;0;0;1;
13;2061089134;2022-07-18T23:01:26.771;0;50245;72642;7657;192.951408;0;0;1;
1;2051026001;2022-07-13T10:10:12.377;0;40461;46008;416;744.58293;0;0;1;
1;2051025369;2022-07-10T12:00:02.941;0;61285;60925;1078;248.30208;0;0;1;
1;2051027503;2022-07-20T15:53:03.436;0;9962;49210;33;166.461542;0;0;3;
5;2051021892;2022-06-26T14:28:04.433;0;61091;19723;3743;755.219829;0;0;2;
5;2051028699;2022-07-29T11:22:02.177;0;9962;61577;3871;166.461542;0;0;3;
1;2051030801;2022-08-11T20:11:02.730;0;60687;47895;1009;150.608575;0;0;1;
5;2051018081;2022-06-07T19:47:02.755;0;36947;65768;3113;1343.159064;0;0;1;
1;2051016982;2022-06-01T11:20:02.802;0;4006;48688;1037;508.943825;0;0;12;
1;2051017192;2022-06-02T16:12:10.966;2;4006;48697;408;508.943825;0;0;1;
1;2051017197;2022-06-02T17:31:06.210;0;4006;48697;408;508.943825;0;0;1;
